frame,score_dynamic,score_dynamic_smoothed_w5,component_rarity,component_transition_surprise,component_local_density
0,93.75,93.75,,,93.75
1,95.375,94.125,,,95.375
2,97.25,94.125,,,97.25
3,94.125,95.375,,,94.125
4,91.75,94.125,,,91.75
5,99.25,94.125,,,99.25
6,93.375,93.625,,,93.375
7,96.0,93.625,,,96.0
8,93.625,93.375,,,93.625
9,86.0,86.0,,,86.0
10,80.125,82.25,,,80.125
11,64.125,80.125,,,64.125
12,82.25,80.125,,,82.25
13,80.0,82.25,,,80.0
14,92.875,82.25,,,92.875
15,95.5,80.0,,,95.5
16,46.75,89.625,,,46.75
17,65.125,89.625,,,65.125
18,89.625,65.125,,,89.625
19,92.625,74.25,,,92.625
20,45.125,74.25,,,45.125
21,74.25,57.125,,,74.25
22,46.625,57.125,,,46.625
23,57.125,74.25,,,57.125
24,99.125,57.125,,,99.125
25,81.875,81.875,,,81.875
26,46.25,81.875,,,46.25
27,92.5,81.875,,,92.5
28,68.75,90.875,,,68.75
29,97.5,92.5,,,97.5
30,90.875,90.875,,,90.875
31,94.75,90.875,,,94.75
32,83.25,83.25,,,83.25
33,78.75,78.75,,,78.75
34,65.75,73.375,,,65.75
35,73.375,71.625,,,73.375
36,65.25,71.625,,,65.25
37,71.625,73.375,,,71.625
38,80.75,80.75,,,80.75
39,88.625,82.5,,,88.625
40,88.25,88.25,,,88.25
41,82.5,88.25,,,82.5
42,96.375,88.25,,,96.375
43,81.0,85.0,,,81.0
44,91.875,85.0,,,91.875
45,85.0,85.0,,,85.0
46,76.25,86.25,,,76.25
47,86.25,86.25,,,86.25
48,90.75,90.75,,,90.75
49,99.5,90.75,,,99.5
50,95.125,90.75,,,95.125
51,75.125,88.5,,,75.125
52,88.5,75.125,,,88.5
53,66.0,75.125,,,66.0
54,48.5,81.75,,,48.5
55,96.25,76.375,,,96.25
56,81.75,76.375,,,81.75
57,76.375,81.75,,,76.375
58,71.25,77.625,,,71.25
59,88.125,76.375,,,88.125
60,77.625,71.25,,,77.625
61,62.5,64.25,,,62.5
62,59.25,64.25,,,59.25
63,64.25,64.25,,,64.25
64,75.25,64.25,,,75.25
65,93.125,75.25,,,93.125
66,60.62499999999999,85.25,,,60.62499999999999
67,85.25,85.25,,,85.25
68,87.0,79.625,,,87.0
69,46.375,85.25,,,46.375
70,79.625,83.375,,,79.625
71,89.5,79.625,,,89.5
72,83.375,79.625,,,83.375
73,68.0,76.0,,,68.0
74,76.0,68.0,,,76.0
75,43.25,66.625,,,43.25
76,66.625,53.87499999999999,,,66.625
77,53.87499999999999,53.87499999999999,,,53.87499999999999
78,50.74999999999999,53.87499999999999,,,50.74999999999999
79,62.375,53.87499999999999,,,62.375
80,46.0,62.375,,,46.0
81,91.125,69.875,,,91.125
82,69.875,87.5,,,69.875
83,95.75,87.5,,,95.75
84,87.5,87.5,,,87.5
85,67.75,87.5,,,67.75
86,93.25,87.5,,,93.25
87,81.125,81.125,,,81.125
88,91.0,89.75,,,91.0
89,72.875,81.125,,,72.875
90,89.75,72.875,,,89.75
91,67.375,67.375,,,67.375
92,43.0,67.375,,,43.0
93,57.62500000000001,67.375,,,57.62500000000001
94,88.375,57.62500000000001,,,88.375
95,72.25,57.62500000000001,,,72.25
96,56.00000000000001,72.25,,,56.00000000000001
97,49.625,56.625,,,49.625
98,76.75,56.625,,,76.75
99,56.625,69.25,,,56.625
100,69.25,69.25,,,69.25
101,69.75,59.75,,,69.75
102,59.75,59.75,,,59.75
103,48.125,59.75,,,48.125
104,32.0,59.75,,,32.0
105,84.875,84.875,,,84.875
106,100.0,84.875,,,100.0
107,91.25,84.875,,,91.25
108,69.125,69.125,,,69.125
109,40.125,64.75,,,40.125
110,41.125,64.75,,,41.125
111,64.75,64.75,,,64.75
112,74.0,64.75,,,74.0
113,92.25,74.0,,,92.25
114,31.75,77.375,,,31.75
115,77.375,77.375,,,77.375
116,85.75,77.375,,,85.75
117,67.5,77.375,,,67.5
118,81.625,73.75,,,81.625
119,45.5,69.625,,,45.5
120,73.75,69.625,,,73.75
121,69.625,69.625,,,69.625
122,55.625,73.75,,,55.625
123,75.625,70.625,,,75.625
124,87.125,70.625,,,87.125
125,70.625,75.625,,,70.625
126,67.875,82.125,,,67.875
127,94.5,82.125,,,94.5
128,82.125,82.125,,,82.125
129,89.0,89.0,,,89.0
130,59.5,89.0,,,59.5
131,98.75,89.0,,,98.75
132,93.5,93.5,,,93.5
133,87.625,93.5,,,87.625
134,98.25,93.5,,,98.25
135,88.0,90.25,,,88.0
136,96.625,90.25,,,96.625
137,90.25,88.0,,,90.25
138,63.5,81.5,,,63.5
139,80.5,81.5,,,80.5
140,81.5,81.5,,,81.5
141,83.5,83.5,,,83.5
142,86.75,83.625,,,86.75
143,83.625,83.625,,,83.625
144,83.75,83.625,,,83.75
145,82.75,82.75,,,82.75
146,71.5,74.375,,,71.5
147,70.875,74.375,,,70.875
148,74.375,74.375,,,74.375
149,86.5,86.5,,,86.5
150,98.125,86.5,,,98.125
151,97.125,94.25,,,97.125
152,85.625,94.25,,,85.625
153,94.25,85.625,,,94.25
154,82.875,85.625,,,82.875
155,75.375,84.5,,,75.375
156,89.375,84.5,,,89.375
157,84.5,84.5,,,84.5
158,99.875,89.375,,,99.875
159,84.0,84.5,,,84.0
160,98.875,84.0,,,98.875
161,67.125,84.0,,,67.125
162,76.625,76.625,,,76.625
163,87.375,76.625,,,87.375
164,61.25000000000001,80.875,,,61.25000000000001
165,80.875,83.0,,,80.875
166,85.5,83.0,,,85.5
167,83.0,84.75,,,83.0
168,84.75,84.75,,,84.75
169,95.625,84.75,,,95.625
170,77.875,94.0,,,77.875
171,96.875,94.0,,,96.875
172,94.0,77.875,,,94.0
173,71.0,71.0,,,71.0
174,62.25000000000001,62.25000000000001,,,62.25000000000001
175,55.00000000000001,55.00000000000001,,,55.00000000000001
176,46.125,55.00000000000001,,,46.125
177,13.750000000000002,46.125,,,13.750000000000002
178,97.875,34.875,,,97.875
179,34.875,25.624999999999996,,,34.875
180,6.875000000000001,34.875,,,6.875000000000001
181,25.624999999999996,34.875,,,25.624999999999996
182,68.375,56.49999999999999,,,68.375
183,56.49999999999999,66.25,,,56.49999999999999
184,87.875,66.25,,,87.875
185,66.25,56.49999999999999,,,66.25
186,39.875,53.25,,,39.875
187,13.25,47.0,,,13.25
188,53.25,39.875,,,53.25
189,47.0,34.125,,,47.0
190,19.25,47.0,,,19.25
191,34.125,41.625,,,34.125
192,96.75,34.125,,,96.75
193,41.625,34.125,,,41.625
194,27.625,41.625,,,27.625
195,30.5,30.5,,,30.5
196,62.0,30.5,,,62.0
197,19.625,41.0,,,19.625
198,51.625,48.625,,,51.625
199,41.0,48.625,,,41.0
200,48.625,48.625,,,48.625
201,53.0,48.625,,,53.0
202,20.25,53.0,,,20.25
203,98.625,89.125,,,98.625
204,91.625,89.125,,,91.625
205,89.125,89.125,,,89.125
206,66.875,89.125,,,66.875
207,65.375,89.125,,,65.375
208,99.375,94.625,,,99.375
209,97.0,94.625,,,97.0
210,94.625,94.625,,,94.625
211,84.375,84.375,,,84.375
212,36.25,60.75000000000001,,,36.25
213,50.875,60.75000000000001,,,50.875
214,60.75000000000001,50.875,,,60.75000000000001
215,71.875,50.875,,,71.875
216,27.375,60.75000000000001,,,27.375
217,36.875,71.875,,,36.875
218,92.0,48.375,,,92.0
219,74.75,74.75,,,74.75
220,48.375,74.75,,,48.375
221,79.25,74.75,,,79.25
222,53.75,79.25,,,53.75
223,97.375,79.25,,,97.375
224,91.375,77.25,,,91.375
225,32.625,77.25,,,32.625
226,77.25,77.25,,,77.25
227,20.5,66.75,,,20.5
228,90.375,77.25,,,90.375
229,66.75,66.75,,,66.75
230,99.0,70.5,,,99.0
231,51.125,68.5,,,51.125
232,70.5,68.5,,,70.5
233,68.5,51.125,,,68.5
234,14.000000000000002,68.5,,,14.000000000000002
235,24.25,62.125,,,24.25
236,79.75,35.125,,,79.75
237,62.125,62.125,,,62.125
238,35.125,79.75,,,35.125
239,97.625,62.125,,,97.625
240,91.5,53.625,,,91.5
241,28.499999999999996,91.5,,,28.499999999999996
242,53.625,58.25,,,53.625
243,96.5,53.625,,,96.5
244,58.25,58.25,,,58.25
245,51.37500000000001,62.625,,,51.37500000000001
246,79.875,62.625,,,79.875
247,62.625,62.625,,,62.625
248,94.375,74.125,,,94.375
249,59.875,62.625,,,59.875
250,74.125,72.375,,,74.125
251,38.375,59.875,,,38.375
252,72.375,72.375,,,72.375
253,47.75,72.375,,,47.75
254,79.0,72.375,,,79.0
255,86.875,60.375,,,86.875
256,25.874999999999996,79.0,,,25.874999999999996
257,60.375,60.375,,,60.375
258,98.5,52.25,,,98.5
259,16.75,60.375,,,16.75
260,52.25,65.0,,,52.25
261,96.125,65.0,,,96.125
262,65.0,73.5,,,65.0
263,73.5,73.5,,,73.5
264,78.5,73.5,,,78.5
265,70.25,78.5,,,70.25
266,79.375,78.5,,,79.375
267,79.5,70.25,,,79.5
268,65.625,75.5,,,65.625
269,51.87500000000001,75.5,,,51.87500000000001
270,75.5,65.625,,,75.5
271,80.25,75.5,,,80.25
272,55.25,80.25,,,55.25
273,95.0,80.25,,,95.0
274,85.125,85.125,,,85.125
275,38.625,85.125,,,38.625
276,90.625,45.75,,,90.625
277,45.75,45.75,,,45.75
278,25.374999999999996,45.75,,,25.374999999999996
279,70.375,45.75,,,70.375
280,25.25,60.12499999999999,,,25.25
281,78.125,70.375,,,78.125
282,60.12499999999999,60.12499999999999,,,60.12499999999999
283,79.125,78.125,,,79.125
284,30.375000000000004,78.25,,,30.375000000000004
285,83.125,78.25,,,83.125
286,78.25,71.375,,,78.25
287,71.375,78.25,,,71.375
288,36.0,71.375,,,36.0
289,87.25,59.0,,,87.25
290,59.0,59.0,,,59.0
291,12.5,59.0,,,12.5
292,92.75,59.0,,,92.75
293,17.75,66.375,,,17.75
294,66.375,88.875,,,66.375
295,88.875,66.375,,,88.875
296,95.875,66.375,,,95.875
297,42.0,59.12500000000001,,,42.0
298,59.12500000000001,56.375,,,59.12500000000001
299,11.5,42.0,,,11.5
300,56.375,40.5,,,56.375
301,10.125,28.125,,,10.125
302,40.5,29.5,,,40.5
303,28.125,29.5,,,28.125
304,29.5,40.5,,,29.5
305,72.625,66.5,,,72.625
306,66.5,66.5,,,66.5
307,95.25,66.5,,,95.25
308,44.375,66.5,,,44.375
309,58.5,58.5,,,58.5
310,84.125,58.5,,,84.125
311,46.875,58.5,,,46.875
312,71.75,63.125,,,71.75
313,26.875,63.125,,,26.875
314,63.125,63.125,,,63.125
315,92.375,41.5,,,92.375
316,15.625,41.5,,,15.625
317,41.5,41.5,,,41.5
318,18.875,41.5,,,18.875
319,49.25,44.625,,,49.25
320,44.625,44.625,,,44.625
321,56.875,49.25,,,56.875
322,19.0,44.625,,,19.0
323,77.125,56.875,,,77.125
324,29.875,29.875,,,29.875
325,61.375,61.375,,,61.375
326,18.75,29.875,,,18.75
327,77.75,47.5,,,77.75
328,27.500000000000004,27.500000000000004,,,27.500000000000004
329,47.5,31.624999999999996,,,47.5
330,13.375,31.624999999999996,,,13.375
331,31.624999999999996,37.125,,,31.624999999999996
332,75.875,37.125,,,75.875
333,37.125,45.0,,,37.125
334,45.0,54.25,,,45.0
335,75.75,54.25,,,75.75
336,54.25,54.25,,,54.25
337,74.5,54.25,,,74.5
338,28.625,54.25,,,28.625
339,43.375,44.125,,,43.375
340,60.5,43.375,,,60.5
341,44.125,43.375,,,44.125
342,25.75,44.125,,,25.75
343,28.375,44.125,,,28.375
344,99.625,45.625,,,99.625
345,45.625,45.625,,,45.625
346,94.875,45.625,,,94.875
347,7.124999999999999,45.625,,,7.124999999999999
348,38.5,38.5,,,38.5
349,57.75,38.5,,,57.75
350,30.875000000000004,38.875,,,30.875000000000004
351,52.37500000000001,49.5,,,52.37500000000001
352,38.875,49.5,,,38.875
353,49.5,52.37500000000001,,,49.5
354,97.75,49.5,,,97.75
355,93.0,49.5,,,93.0
356,34.5,61.0,,,34.5
357,5.875,55.375,,,5.875
358,61.0,34.5,,,61.0
359,55.375,55.375,,,55.375
